active_ingredient,interacting_food,risk_level,warning_message
Isotretinoin,A Vitamini (Havuç Özütü/Takviyeler),Major,İlaç zaten A vitamini derivesidir. Ekstra A vitamini alımı şiddetli karaciğer toksisitesi ve beyin basıncında artışa yol açar.
Metronidazole,Alkol,Major,Alkol ile kullanımı şiddetli bulantı kusma baş ağrısı ve çarpıntıya (Disülfiram benzeri reaksiyon) neden olur.
Acetaminophen,Alkol,Major,İlacın alkol ile uzun süreli birlikte kullanımı karaciğer toksisitesi (hepatotoksisite) riskini ciddi şekilde artırır.
Dexketoprofen,Alkol,Major,NSAİİ grubu ağrı kesicilerle alkol kullanımı mide kanaması ve gastrointestinal ülserasyon riskini belirgin şekilde artırır.
Flurbiprofen,Alkol,Major,Alkol tüketimi ile birlikte alındığında mide ve bağırsak kanaması riski artar.
Ibuprofen,Alkol,Major,Alkol tüketimi ile birlikte alındığında mide zarı tahrişi ve kanama riski artar.
Naproxen,Alkol,Major,Alkol ile eşzamanlı kullanım ciddi gastrointestinal kanama riskine yol açar.
Diclofenac,Alkol,Major,NSAİİ grubu ilaçlarla alkol tüketimi mide mukozasını hasara uğratarak kanama riskini ciddi oranda artırır.
Meloxicam,Alkol,Major,Mide ve bağırsak kanaması riskini artırır. Tedavi süresince alkol alınmamalıdır.
Ketorolac,Alkol,Major,Çok güçlü bir NSAİİ olduğu için alkolle alımı anında mide kanaması ve perforasyon (delinme) riski yaratır.
Celecoxib,Alkol,Major,Mide koruyucu etkili bir NSAİİ olmasına rağmen alkolle alımı gastrointestinal kanama riskini tetikler.
Valproic Acid,Alkol,Major,Alkol ile birlikte alımı merkezi sinir sistemi depresyonunu şiddetlendirir ve karaciğer toksisitesi riskini artırır.
Phenytoin,Alkol,Major,Alkol ilacın metabolizmasını bozarak nöbet kontrolünü zorlaştırır ve toksisite riskini yükseltir.
Topiramate,Alkol,Major,Bilişsel yavaşlama uyku hali ve sersemlik gibi merkezi sinir sistemi yan etkilerini tehlikeli derecede artırır.
Duloxetine,Alkol,Major,Aşırı alkol tüketimi ile birlikte kullanımı ciddi karaciğer hasarı riskini (hepatotoksisite) artırır.
Mirtazapine,Alkol,Major,İlacın zaten yüksek olan sedatif (uyutucu) etkisi alkolle birleştiğinde tehlikeli boyutlara ulaşır.
Bupropion,Alkol,Major,Alkol kullanımı ilacın nöbet eşiğini düşürme riskini tetikler. Ani nöbet geçirme tehlikesi yaratır.
Metformin,Alkol,Major,Alkol ile birlikte kullanımı kanda ölümcül olabilen laktik asidoz birikimi riskini artırır ve hipoglisemi yapabilir.
Glimepiride,Alkol,Major,Sülfonilüre grubu ilaçlarla alkol tüketimi tehlikeli hipoglisemi ataklarına (ani şeker düşmesi) yol açar.
Gliclazide,Alkol,Major,Alkol karaciğerin şeker üretmesini engelleyerek ilacın hipoglisemi riskini hayati seviyede artırır.
Insulin,Alkol,Major,Alkol tüketimi karaciğer glikoz üretimini baskılar. İnsülin ile alındığında saatler sonra bile gecikmiş şiddetli hipoglisemi yaratabilir.
Clonidine,Alkol,Major,Hipertansiyon ilacı alkolle birleştiğinde tehlikeli boyutlarda merkezi sinir sistemi çökmesi ve hipotansiyon oluşturur.
Alprazolam,Alkol,Major,Alkol ile kombine kullanımı şiddetli solunum depresyonu koma ve ölüme yol açabilir.
Diazepam,Alkol,Major,Alkol ilacın merkezi sinir sistemini baskılayıcı etkisini katlayarak solunum durmasına neden olabilir.
